temperature,rh,ws,rain,ffmc,dmc,dc,isi,bui,region,fwi
39,21,17,0.4,93.0,18.4,41.5,15.5,18.4,Sidi-Bel Abbes,18.8
36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,Bejaia,4.2
31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,Bejaia,0.9
31,52,14,0.0,87.7,6.4,24.3,6.2,7.7,Bejaia,5.9
29,74,15,1.1,59.5,4.7,8.2,0.8,4.6,Sidi-Bel Abbes,0.3
36,54,18,0.0,89.4,20.0,110.9,9.7,27.5,Bejaia,16.1
33,59,16,0.8,74.2,7.0,8.3,1.6,6.7,Sidi-Bel Abbes,0.8
34,53,18,0.0,89.0,21.6,80.3,9.2,25.8,Bejaia,15.0
33,64,13,0.0,88.9,26.1,106.3,7.1,32.4,Sidi-Bel Abbes,13.7
30,59,19,0.0,89.1,27.8,168.2,9.8,39.3,Sidi-Bel Abbes,19.4
38,52,14,0.0,78.3,4.4,10.5,2.0,4.4,Sidi-Bel Abbes,0.8
40,31,15,0.0,94.2,22.5,46.3,16.6,22.4,Sidi-Bel Abbes,21.6
29,57,18,0.0,65.7,3.4,7.6,1.3,3.4,Bejaia,0.5
26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,Bejaia,0.1
37,52,18,0.0,89.3,16.0,100.7,9.7,22.9,Bejaia,14.6
29,70,14,0.0,82.8,9.4,34.1,3.2,11.1,Bejaia,3.6
30,77,15,1.0,56.1,2.1,8.4,0.7,2.6,Bejaia,0.2
29,87,15,0.4,47.4,4.2,8.0,0.2,4.1,Sidi-Bel Abbes,0.1
36,62,16,0.0,87.8,16.5,34.5,7.0,16.4,Sidi-Bel Abbes,9.5
33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,Sidi-Bel Abbes,2.5
35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,Bejaia,4.2
35,60,15,0.0,88.9,43.9,181.3,8.2,54.7,Bejaia,20.3
34,58,16,0.0,88.1,27.8,61.1,7.3,27.7,Sidi-Bel Abbes,13.0
34,51,16,3.8,77.5,8.0,9.5,2.0,7.7,Sidi-Bel Abbes,1.3
31,71,17,0.3,69.6,3.2,30.1,1.5,5.1,Bejaia,0.6
35,64,18,0.2,80.0,9.7,40.4,2.8,12.1,Bejaia,3.2
33,46,14,1.1,78.3,8.1,8.3,1.9,7.7,Sidi-Bel Abbes,1.2
36,45,14,0.0,78.8,4.8,10.2,2.0,4.7,Bejaia,0.9
